DTCO,GR,HCAL,RHO
66.03777,65.19806,8.644301,2.427113
67.98499,66.95831,8.59008,2.427832
69.14706,69.95293,8.895682,2.416435
68.4707,73.87714,8.348557,2.39243
68.9216,79.59522,8.718237,2.360848
70.60442,86.53226,8.665661,2.33322
70.95067,89.40485,8.683733,2.325022
69.59795,89.18749,8.688663,2.308355
69.82341,87.3359,8.915399,2.266338
72.07793,88.42506,8.737953,2.228376
74.78335,89.57986,9.068199,2.221334
85.14517,98.55947,9.196355,2.215991
94.24999,100.5192,8.920328,2.173874
104.6783,96.90572,8.778618,2.113135
115.3307,85.37437,8.915399,2.06473
119.4542,78.95094,8.767528,2.042617
118.4233,77.65982,8.762598,2.043613
103.9676,79.88967,8.885824,2.070804
98.21523,78.07491,8.969619,2.112074
94.27072,77.50246,8.936757,2.148772
92.46282,73.56353,8.936757,2.168728
88.68268,74.55263,8.91047,2.173054
81.70471,72.74837,9.122419,2.185273
74.60298,72.56713,9.462525,2.198078
71.55939,69.45041,9.423093,2.236005
68.71869,72.08097,8.526003,2.199265
68.10997,75.34663,8.368273,1.987401
70.74776,81.55798,8.422493,1.91341
75.41461,85.74731,8.215472,1.967662
87.75845,91.89327,8.289408,2.0263
91.342,95.52264,8.17604,2.047334
105.0811,96.33489,8.12182,2.023531
111.3291,93.66519,8.123464,1.99352
111.532,98.54972,8.200686,2.003277
109.3,100.7347,8.427422,2.052636
108.8942,103.8887,8.757669,2.093192
109.0971,100.408,8.629514,2.085009
112.1407,97.49673,8.530931,2.058413
113.9669,95.01655,8.733024,2.033029
114.1698,92.35847,8.925257,1.985967
114.1698,93.00526,8.989335,1.957697
112.3436,92.21906,9.078057,1.983427
108.4884,88.81295,9.112561,2.060719
102.1983,88.38228,9.068199,2.146158
89.41517,83.0153,9.359015,2.200408
87.1832,82.97571,9.127348,2.219954
88.19772,81.66148,9.161852,2.229317
89.41517,83.91675,9.265363,2.234426
89.21226,87.94135,9.221002,2.224444
87.1832,86.00291,9.147064,2.22255
82.92216,83.36852,9.009051,2.203914
77.84949,77.6749,9.102703,2.14297
76.02333,75.28674,8.974547,2.050419
75.0088,73.76198,8.836535,1.996451
71.35648,74.35763,8.80696,2.026862
70.34194,74.78094,8.131679,2.099678
72.16811,72.95691,8.236421,2.161871
77.44367,66.47608,9.006586,2.21913
79.47274,65.25602,9.078057,2.283718
79.47274,64.82751,9.087915,2.316869
76.14165,66.13055,8.989335,2.340353
70.96619,67.21956,9.280149,2.334099
69.32741,68.53112,9.309724,2.347483
69.73322,67.48792,9.306438,2.374265
69.1245,65.78439,9.181568,2.399447
66.89253,69.27087,9.2859,2.362676
64.45765,75.73386,9.294937,2.259644
64.05184,84.20266,9.186497,2.151709
67.90707,88.49014,9.294937,2.092926
77.44367,91.285,9.092845,2.075293
84.21689,90.18729,9.004122,2.052925
91.77951,89.96351,9.068199,2.035618
104.0244,89.49846,8.846393,2.006327
106.8651,83.24409,8.841463,1.989553
105.039,80.05206,8.75274,1.992112
96.39536,79.27123,8.792994,2.009964
91.74198,87.28413,8.816818,2.037845
86.83807,87.14365,8.836535,2.055516
83.32796,86.77612,9.087915,2.093352
79.67565,77.68603,9.068199,2.110935
78.0524,75.27932,9.339298,2.135247
77.24077,75.12814,9.507709,2.154089
77.03786,79.5499,9.773055,2.174229
77.03786,81.09922,9.600538,2.203252
78.86402,81.08215,9.541389,2.235596
81.26126,79.25352,9.468686,2.249557
87.91115,75.36661,9.536461,2.249638
93.23428,68.88548,9.314653,2.208677
101.1837,68.12572,9.285079,2.112091
102.4012,66.97093,9.087915,2.028808
101.3867,64.57385,9.112561,2.020227
96.4341,58.63854,9.324512,2.082103
81.43594,58.59985,9.477312,2.15951
72.6436,58.36205,9.610396,2.202832
68.31288,59.22591,9.467454,2.265993
66.89253,57.0303,9.354086,2.309289
65.47218,59.62326,9.457596,2.351472
65.06638,58.58585,9.299866,2.33527
66.0809,60.67643,9.610396,2.290948
67.70415,57.45918,9.462525,2.222854
69.61958,57.48889,9.290008,2.199432
71.01316,57.17366,9.181568,2.223798
71.38764,57.05874,9.111329,2.255304
72.35484,57.50078,8.728095,2.279372
74.36423,55.87551,8.694414,2.295441
76.61517,54.97247,8.102104,2.302627
78.28113,53.97267,8.092246,2.277116
80.60552,54.13959,7.885225,2.205854
82.0673,54.14598,7.939445,2.206323
82.24931,54.7239,8.189183,2.257029
80.73651,53.94144,8.314054,2.2971
79.26721,52.14459,8.284479,2.293776
77.84949,51.35676,8.254905,2.264788
76.02333,50.92512,8.402777,2.221112
75.2117,54.38816,8.644301,2.185055
75.41461,55.5965,8.728095,2.15746
77.24077,53.65643,8.875966,2.151431
77.84949,50.12864,9.053412,2.173124
76.83495,50.33621,9.107632,2.236798
75.2117,52.24064,8.920328,2.294693
73.99426,52.20899,8.900612,2.309779
73.18264,49.13882,8.550648,2.280078
72.16811,49.19086,8.501357,2.266057
70.74776,50.06118,8.614726,2.288785
70.74776,48.98595,9.01398,2.290885
71.15357,46.99206,9.344228,2.270277
72.57391,44.71697,9.457596,2.215778
74.19717,44.34992,9.23086,2.183216
75.61752,43.57774,9.250576,2.157171
78.2553,44.56366,9.826044,2.114347
82.90965,46.38855,9.80756,2.12081
